Date,Sales,Product,Category,Region,Quantity,Discount,Unit Price
2022-01-01,1381.74,Camera,Electronics,East,4,0,390.53
2022-01-01,188.97,Yoga Mat,Sports,Central,7,0,35.1
2022-01-01,238.17,Bicycle,Sports,North,9,0.3,46.12
2022-01-01,33.6,Biography,Books,East,1,0,37.76
2022-01-02,204.89,Blender,Home & Kitchen,South,6,0.2,57.81
2022-01-02,61.6,Lamp,Home & Kitchen,East,1,0.3,118.05
2022-01-02,145.68,Fiction Novel,Books,Central,5,0.15,39.88
2022-01-02,3551.89,Laptop,Electronics,South,5,0.05,802.02
2022-01-02,77.74,Cookbook,Books,West,6,0.15,19.88
2022-01-02,684.72,Pillow,Home & Kitchen,North,10,0.3,108.96
2022-01-02,288.79,Dress,Clothing,West,5,0.3,107.25
2022-01-02,78.32,Coffee Maker,Home & Kitchen,South,1,0.2,125.28
2022-01-03,190.54,Protein Powder,Sports,East,4,0.2,76.26
2022-01-03,33.31,Science Book,Books,East,3,0.3,22.4
2022-01-03,279.56,Running Shoes,Sports,Central,7,0,56.89
2022-01-03,1052.4,Laptop,Electronics,North,3,0.2,608.82
2022-01-03,134.11,Textbook,Books,Central,8,0.3,30.87
2022-01-03,3195.62,Camera,Electronics,North,9,0.15,675.47
2022-01-04,371.78,Dress,Clothing,North,5,0,105.98
2022-01-04,3629.99,Camera,Electronics,East,9,0,598.84
2022-01-04,35.55,Sneakers,Clothing,Central,1,0.25,79.12
2022-01-04,43.6,Air Fryer,Home & Kitchen,South,1,0,71.12
2022-01-04,33.67,Fiction Novel,Books,Central,3,0.25,18.85
2022-01-04,498.9,Jacket,Clothing,Central,10,0.05,66.47
2022-01-04,440.04,Hoodie,Clothing,East,7,0.15,107.65
2022-01-04,97.48,Running Shoes,Sports,North,4,0.15,47.83
2022-01-04,86.1,Dumbbells,Sports,Central,4,0,33.47
2022-01-05,143.48,Coffee Maker,Home & Kitchen,Central,4,0.25,74.73
2022-01-05,401.57,Hoodie,Clothing,Central,10,0.25,70.03
2022-01-05,238.73,T-Shirt,Clothing,North,7,0.2,61.51
2022-01-06,2727.32,Laptop,Electronics,West,6,0,702.32
2022-01-06,124.05,Sneakers,Clothing,West,3,0.1,66.38
2022-01-06,320.75,Headphones,Electronics,Central,2,0.3,297.32
2022-01-07,354.78,Jeans,Clothing,West,8,0.2,70.66
2022-01-07,189.41,Dress,Clothing,North,7,0.25,55.09
2022-01-07,103.6,Protein Powder,Sports,West,3,0.05,45.53
2022-01-07,49.88,Protein Powder,Sports,Central,1,0,82.37
2022-01-08,89.52,Bicycle,Sports,South,1,0,96.41
2022-01-08,1594.71,Smart Watch,Electronics,North,4,0.05,488.04
2022-01-08,2430.71,Smart Watch,Electronics,North,7,0.3,624.98
2022-01-08,259.68,Blender,Home & Kitchen,East,4,0,73.5
2022-01-08,71.62,Vacuum,Home & Kitchen,East,2,0,48.89
2022-01-08,289.63,Sneakers,Clothing,East,3,0,103.19
2022-01-08,800.33,Air Fryer,Home & Kitchen,South,8,0.1,128.04
2022-01-08,449.16,Yoga Mat,Sports,Central,5,0,94.5
2022-01-08,140.01,Jacket,Clothing,North,2,0,89.45
2022-01-08,237.38,Dumbbells,Sports,East,4,0.1,78.37
2022-01-09,1134.21,Laptop,Electronics,West,5,0.15,293.81
2022-01-09,522.4,Blender,Home & Kitchen,West,9,0.3,115.74
2022-01-09,1906.11,Camera,Electronics,South,9,0.15,289.46
2022-01-09,54.73,Dress,Clothing,South,1,0,58.19
2022-01-09,80.61,Hoodie,Clothing,South,2,0.3,61.46
2022-01-09,153.3,Biography,Books,South,4,0,40.94
2022-01-09,3653.33,Smartphone,Electronics,East,7,0.05,703.21
2022-01-10,42.09,Fiction Novel,Books,West,4,0.25,20.99
2022-01-10,180.84,Jeans,Clothing,North,4,0.1,64.69
2022-01-10,368.71,Air Fryer,Home & Kitchen,Central,7,0.3,113.23
2022-01-10,950.08,Laptop,Electronics,East,3,0.1,583.52
2022-01-11,100.72,Cookbook,Books,East,7,0.3,33.19
2022-01-11,56.18,Dumbbells,Sports,East,1,0,79.78
2022-01-11,227.56,Protein Powder,Sports,South,6,0.15,61.47
2022-01-11,2087.68,Camera,Electronics,East,9,0.2,437.01
2022-01-11,208.46,Lamp,Home & Kitchen,South,4,0.2,88.36
2022-01-11,214.91,Sneakers,Clothing,Central,5,0,65.24
2022-01-11,428.86,Dress,Clothing,Central,10,0.25,83.14
2022-01-11,158.43,Sneakers,Clothing,West,3,0.1,83.44
2022-01-11,224.82,Tennis Racket,Sports,North,4,0.05,77.4
2022-01-11,295.15,T-Shirt,Clothing,North,4,0,106.84
2022-01-11,348.1,Dumbbells,Sports,West,8,0,59.38
2022-01-11,707.75,Laptop,Electronics,West,4,0.3,364.98
